polo_uid,polo_nombre,referente_id,nombre,categoria_referente,subcategoria,direccion,lat,lon,barrio,comuna,estado_vigencia,fecha_verificacion,reconocimiento,fuente,nivel_confianza,motivo_inclusion,es_icono_principal,es_ancla,observaciones,asignacion_metodo,fuera_geometria,cerca_borde_50m,distancia_borde_m
POLO-R08,Villa Crespo,HITO-MIC-005,Han,MICHELIN,Una Estrella,Vera 966,-34.594888,-58.441652,Villa Crespo,Comuna 15,SIN_VERIFICAR,2026-08-08,Una Estrella,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/han,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,275.536
POLO-R08,Villa Crespo,HITO-MIC-007,Horta,MICHELIN,Recomendado/seleccionado,Aguirre 1080,-34.592503,-58.440557,Villa Crespo,Comuna 15,SIN_VERIFICAR,,Recomendado/seleccionado,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/horta-1217076,alta,referente documentado; asignación documento,NO,SI,Fuera de la geometría; asociación documental explícita.,DOCUMENTO,SI,SI,0.156
POLO-R08,Villa Crespo,HITO-H156,Julia,Latin America’s 50 Best,Latin America's 50 Best Restaurants 2025,Loyola 807,-34.593368,-58.437876,Villa Crespo,Comuna 15,SIN_VERIFICAR,2026-08-08,Latin America's 50 Best Restaurants 2025,The World's 50 Best (sitio oficial),alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,112.602
POLO-R08,Villa Crespo,HITO-MIC-016,Julia,MICHELIN,Recomendado/seleccionado,Loyola 807,-34.593368,-58.437876,Villa Crespo,Comuna 15,SIN_VERIFICAR,,Recomendado/seleccionado,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/julia-1206804,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,112.602
POLO-R08,Villa Crespo,HITO-H033,SAN BERNARDO,Bar Notable,,Av. Corrientes 5436,-34.597863,-58.441098,Villa Crespo,Comuna 15,OPERATIVO,2026-08-08,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,583.086
POLO-R08,Villa Crespo,HITO-H154,Trescha,Latin America’s 50 Best,Latin America's 50 Best Restaurants 2025,Murillo 725,-34.600335,-58.444028,Villa Crespo,Comuna 15,SIN_VERIFICAR,2026-08-08,Latin America's 50 Best Restaurants 2025,The World's 50 Best (sitio oficial),alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,246.683
POLO-R08,Villa Crespo,HITO-MIC-002,Trescha,MICHELIN,Una Estrella,Murillo 725,-34.600335,-58.444028,Villa Crespo,Comuna 15,SIN_VERIFICAR,,Una Estrella,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/trescha,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,246.683
POLO-R10,Caballito,HITO-H090,Confiteria El Greco,Bar Notable,,Av. Rivadavia 5353,-34.620162,-58.440853,Caballito,Comuna 6,OPERATIVO,2026-08-08,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,370.575
POLO-R10,Caballito,HITO-MG-0003,Mercado del Progreso,mercado/patio,,Av. Rivadavia 5430,-34.621044,-58.441696,Caballito,Comuna 6,SIN_VERIFICAR,2026-08-08,Mercado o patio documentado,REFERENTES_2026 + dirección documental,sin_resolver,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,270.456
POLO-R10,Caballito,HITO-H030,Plaza Café,Bar Notable,,Av. Rivadavia 4732,-34.616452,-58.432096,Caballito,Comuna 6,OPERATIVO,2026-08-08,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación documento,NO,SI,Fuera de la geometría; asociación documental explícita.,DOCUMENTO,SI,NO,453.227
POLO-R11,Boulevard Caseros,HITO-H019,Britanico,Bar Notable,,Brasil 399,-34.625306,-58.370839,San Telmo,Comuna 1,OPERATIVO,2026-08-08,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,SI,31.58
POLO-R12,Centro y Microcentro,HITO-H074,36 BILLARES,Bar Notable,,Av. de Mayo 1265,-34.60917,-58.384301,Monserrat,Comuna 1,OPERATIVO,2026-07-04,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación documento,NO,SI,Fuera de la geometría; asociación documental explícita.,DOCUMENTO,SI,NO,50.285
POLO-R12,Centro y Microcentro,HITO-H003,Bar Bidou,Bar Notable,,Av. Roque Saenz Pena 858,-34.605223,-58.378784,San Nicolas,Comuna 1,OPERATIVO,2026-08-08,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,SI,43.893
POLO-R12,Centro y Microcentro,HITO-H094,Bar Iberia,Bar Notable,,Av. de Mayo 1196,-34.609258,-58.383303,Monserrat,Comuna 1,OPERATIVO,2024-06,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación documento,NO,SI,Fuera de la geometría; asociación documental explícita.,DOCUMENTO,SI,NO,55.033
POLO-R12,Centro y Microcentro,HITO-H017,Bar Via 71,Bar Notable,,Viamonte 1771,-34.600753,-58.392349,San Nicolas,Comuna 1,OPERATIVO,2026-08-08,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación documento,NO,SI,Fuera de la geometría; asociación documental explícita.,DOCUMENTO,SI,NO,353.143
POLO-R12,Centro y Microcentro,HITO-H035,Café Tortoni,Bar Notable,,Av. de Mayo 825,-34.608824,-58.37813,Monserrat,Comuna 1,OPERATIVO,2026-05-26,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación documento,NO,SI,Fuera de la geometría; asociación documental explícita.,DOCUMENTO,SI,NO,65.75
POLO-R12,Centro y Microcentro,HITO-H039,Claridge's,Bar Notable,,Tucuman 535,-34.600965,-58.374517,San Nicolas,Comuna 1,OPERATIVO,2026-08-08,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,164.655
POLO-R12,Centro y Microcentro,HITO-H043,Confiteria Saint Moritz,Bar Notable,,Esmeralda 894,-34.597786,-58.3784,Retiro,Comuna 1,OPERATIVO,2026-08-08,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,101.31
POLO-R12,Centro y Microcentro,HITO-H042,Confitería Ideal,Bar Notable,,Suipacha 384,-34.603924,-58.37949,San Nicolas,Comuna 1,OPERATIVO,2026-08-08,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,SI,0.287
POLO-R12,Centro y Microcentro,HITO-ICO-002,El Imparcial,Restaurante Icónico,,"YRIGOYEN, HIPOLITO 1201",-34.609741,-58.383634,Monserrat,Comuna 1,SIN_VERIFICAR,2026-07-07,Restaurante Icónico,https://turismo.buenosaires.gob.ar/es/gastronomico/el-imparcial,alta,referente documentado; asignación documento,NO,SI,Fuera de la geometría; asociación documental explícita.,DOCUMENTO,SI,SI,3.744
POLO-R12,Centro y Microcentro,HITO-DIR-018,El Palacio de la Pizza,pizzería histórica,APYCE + GCBA (2026),Av. Corrientes 751,-34.603362,-58.377315,San Nicolas,Comuna 1,SIN_VERIFICAR,,APYCE + GCBA (2026),https://turismo.buenosaires.gob.ar/es/gastronomico/el-palacio-de-la-pizza,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,201.645
POLO-R12,Centro y Microcentro,HITO-H053,El Querandi,Bar Notable,,Peru 302,-34.611647,-58.374749,Monserrat,Comuna 1,OPERATIVO,2026-08-08,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,SI,19.176
POLO-R12,Centro y Microcentro,HITO-H058,FLORIDA GARDEN,Bar Notable,,Florida 899,-34.597613,-58.375352,Retiro,Comuna 1,OPERATIVO,2026-08-07,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,78.204
POLO-R12,Centro y Microcentro,HITO-DIR-003,Guerrin,pizzería histórica,APYCE + GCBA (2025),Av. Corrientes 1368,-34.604042,-58.386004,San Nicolas,Comuna 1,SIN_VERIFICAR,,APYCE + GCBA (2025),https://turismo.buenosaires.gob.ar/es/gastronomico/guerrin,alta,referente documentado; asignación documento,NO,SI,Fuera de la geometría; asociación documental explícita.,DOCUMENTO,SI,NO,183.177
POLO-R12,Centro y Microcentro,HITO-H067,LA GIRALDA,Bar Notable,,Av. Corrientes 1453,-34.604052,-58.387286,San Nicolas,Comuna 1,OPERATIVO,2026-08-08,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación documento,NO,SI,Fuera de la geometría; asociación documental explícita.,DOCUMENTO,SI,NO,194.759
POLO-R12,Centro y Microcentro,HITO-H070,LA PUERTO RICO,Bar Notable,,Alsina 420,-34.610196,-58.372381,Monserrat,Comuna 1,OPERATIVO,2026-08-08,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,77.943
POLO-R12,Centro y Microcentro,HITO-H068,La Opera,Bar Notable,,Av. Corrientes 1799,-34.604335,-58.392047,San Nicolas,Comuna 1,OPERATIVO,2026-08-08,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación documento,NO,SI,Fuera de la geometría; asociación documental explícita.,DOCUMENTO,SI,NO,364.979
POLO-R12,Centro y Microcentro,HITO-DIR-005,Las Cuartetas,pizzería histórica,APYCE + GCBA (2025),Av. Corrientes 838,-34.603607,-58.3786,San Nicolas,Comuna 1,SIN_VERIFICAR,,APYCE + GCBA (2025),https://turismo.buenosaires.gob.ar/es/gastronomico/las-cuartetas,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,80.901
POLO-R12,Centro y Microcentro,HITO-H072,Le Caravelle,Bar Notable,,Lavalle 726,-34.602372,-58.377159,San Nicolas,Comuna 1,OPERATIVO,2026-08-08,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,227.766
POLO-R12,Centro y Microcentro,HITO-H082,PLAZA BAR,Bar Notable,,Florida 1005,-34.595775,-58.375112,Retiro,Comuna 1,CERRADO,reapertura anunciada 2028,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,177.476
POLO-R12,Centro y Microcentro,HITO-H080,Paulin,Bar Notable,,Sarmiento 635,-34.604564,-58.375632,San Nicolas,Comuna 1,OPERATIVO,2026-08-08,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,84.355
POLO-R12,Centro y Microcentro,HITO-H081,Petit Colón,Bar Notable,,Libertad 505,-34.602403,-58.38376,San Nicolas,Comuna 1,OPERATIVO,2026-08-08,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación documento,NO,SI,Fuera de la geometría; asociación documental explícita.,DOCUMENTO,SI,SI,23.663
POLO-R12,Centro y Microcentro,HITO-ICO-015,Tancat,Restaurante Icónico,,PARAGUAY 645,-34.597508,-58.376145,Retiro,Comuna 1,OPERATIVO,2026-08-07,Restaurante Icónico,https://turismo.buenosaires.gob.ar/es/gastronomico/tancat,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,125.56
POLO-R12,Centro y Microcentro,HITO-H084,The New Brighton,Bar Notable,,Sarmiento 645,-34.604575,-58.375796,San Nicolas,Comuna 1,OPERATIVO,2026-06-06,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,89.393
POLO-R12,Centro y Microcentro,HITO-ICO-016,Zum Edelweiss,Restaurante Icónico,,LIBERTAD 431,-34.603388,-58.383693,San Nicolas,Comuna 1,SIN_VERIFICAR,2026-08-08,Restaurante Icónico,https://turismo.buenosaires.gob.ar/es/otros-establecimientos/zum-edelweiss,media,referente documentado; asignación documento,NO,SI,Fuera de la geometría; asociación documental explícita.,DOCUMENTO,SI,NO,133.017
POLO-R13,Abasto,HITO-H054,EL SIMBOLO,Bar Notable,,Av. Corrientes 3787,-34.603404,-58.417844,Almagro,Comuna 5,OPERATIVO,2026-08-07,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,286.644
POLO-R13,Abasto,HITO-H044,El Banderin,Bar Notable,,Guardia Vieja 3601,-34.601649,-58.415489,Almagro,Comuna 5,OPERATIVO,2026-06-16,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,112.871
POLO-R13,Abasto,HITO-DIR-006,Pin Pun,pizzería histórica,APYCE + GCBA (2025),Av. Corrientes 3954,-34.603323,-58.42031,Almagro,Comuna 5,SIN_VERIFICAR,,APYCE + GCBA (2025),https://www.cronista.com/clase/gourmet/la-pizzeria-historica-que-es-la-mas-antigua-de-caba-y-fue-elegida-como-la-mejor-de-la-ciudad-en-varias-oportunidades/,media,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,60.799
POLO-R13,Abasto,HITO-H032,Roma del Abasto,Bar Notable,,Anchorena 806,-34.599397,-58.408726,Balvanera,Comuna 3,OPERATIVO,2026-08-08,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación documento,NO,SI,Fuera de la geometría; asociación documental explícita.,DOCUMENTO,SI,NO,184.489
POLO-R14,Avenida Boedo,HITO-H086,Café Margot,Bar Notable,,Av. Boedo 857,-34.623266,-58.416375,Boedo,Comuna 5,OPERATIVO,2026-08-08,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,334.747
POLO-R14,Avenida Boedo,HITO-H057,Esquina Homero Manzi,Bar Notable,,Av. San Juan 3601,-34.625385,-58.416337,Boedo,Comuna 5,SIN_VERIFICAR,2026-05-07,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,339.977
POLO-R14,Avenida Boedo,HITO-DIR-020,San Antonio,pizzería histórica,APYCE + GCBA (2026),Av. Juan de Garay 3602,-34.631496,-58.416229,Boedo,Comuna 5,SIN_VERIFICAR,,APYCE + GCBA (2026),https://www.cronista.com/clase/gourmet/la-clasica-pizzeria-portena-que-es-un-clasico-de-boedo-y-causa-furor-en-el-barrio/,media,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,373.244
POLO-R15,Devoto,HITO-H022,Café de García,Bar Notable,,Sanabria 3302,-34.606356,-58.51059,Villa Devoto,Comuna 11,OPERATIVO,2026-08-08,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,190.967
POLO-R15,Devoto,HITO-DIR-017,Gran Pizzeria Jose,pizzería histórica,APYCE + GCBA (2026),Av. San Martin 6915,-34.591495,-58.511332,Villa Devoto,Comuna 11,SIN_VERIFICAR,,APYCE + GCBA (2026),https://www.cronista.com/clase/gourmet/la-pizzeria-clasica-de-villa-devoto-que-cumplio-80-anos-y-que-vale-la-pena-conocer/,media,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,113.46
POLO-R15,Devoto,HITO-H083,STYLO CAFE,Bar Notable,,Fernandez de Enciso 3934,-34.601354,-58.512648,Villa Devoto,Comuna 11,OPERATIVO,2026-08-08,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,310.677
POLO-R17,Villa Urquiza,HITO-H023,Cafe de la U,Bar Notable,,Av. Triunvirato 4801,-34.573373,-58.487403,Villa Urquiza,Comuna 12,OPERATIVO,2026-08-08,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,570.574
POLO-R21,La Paternal,HITO-MIC-003,MN Santa Inés,Bib Gourmand,selección MICHELIN,Ávalos 360,-34.592784,-58.467636,Paternal,Comuna 15,SIN_VERIFICAR,2026-08-08,Bib Gourmand,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/mn-santa-ines,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,307.464
POLO-R21,La Paternal,HITO-DIR-021,Santolin,otro documentado,Heladería histórica,Av. San Martin 3185,-34.601814,-58.468654,Paternal,Comuna 15,SIN_VERIFICAR,,AFADHYA notables (2025-11),https://www.lanacion.com.ar/sociedad/5-heladerias-historicas-buenos-aires-les-hacen-nid2210827/,media,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,298.29
POLO-R21,La Paternal,HITO-DIR-016,Torino Norte,pizzería histórica,APYCE + GCBA (2026),Av. Juan B. Justo 3995,-34.604292,-58.458401,Villa Crespo,Comuna 15,SIN_VERIFICAR,,APYCE + GCBA (2026),https://pizzeriatorino.com.ar/contacto/,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,SI,47.936
POLO-Z27,Villa Santa Rita,HITO-H025,DON JUAN,Bar Notable,,Camarones 2702,-34.611192,-58.478216,Villa Santa Rita,Comuna 11,OPERATIVO,2026-08-07,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,SI,19.08
POLO-Z27,Villa Santa Rita,HITO-REF-EL-SOL-DE-GALICIA-LUIS-VIALE-2867,El Sol de Galicia,referente barrial,churrería/pastelería,Luis Viale 2867,-34.61912637900802,-58.47439225162961,Villa Santa Rita,Comuna 11,OPERATIVO,2026-08-07,Trayectoria desde 1957; no Bar Notable,"sitio oficial del establecimiento, documentado en AUDITORIA_DEL_CATALOGO_OFICIAL.md",alta_documental; media_espacial,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,139.255
POLO-Z27,Villa Santa Rita,HITO-H055,El Tokio,Bar Notable,,Alvarez Jonte 3550,-34.612407,-58.491572,Villa Santa Rita,Comuna 11,OPERATIVO,2026-08-05,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,SI,5.413
POLO-Z28,Monte Castro,HITO-DIR-002,El Fortin,pizzería histórica,APYCE + GCBA (2025),,-34.624277,-58.511648,Monte Castro,Comuna 10,OPERATIVO,2025-08-26,APYCE + GCBA (2025),https://buenosaires.gob.ar/noticias/historias-de-mi-comuna-pizzeria-el-fortin,baja,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,SI,0.185
POLO-Z32,Liniers · Mercado Andino,HITO-DIR-023,El Ciervo,otro documentado,Heladería histórica,Carhue 124,-34.640442,-58.524929,Liniers,Comuna 9,SIN_VERIFICAR,,AFADHYA notables (2025-11),https://cosasdebarrioweb.com.ar/2025/11/05/la-heladeria-el-ciervo-celebra-sus-60-anos-de-historia-en-liniers/,media,referente documentado; asignación documento,NO,SI,Fuera de la geometría; asociación documental explícita.,DOCUMENTO,SI,NO,128.945
POLO-Z33,Mataderos,HITO-H001,9 de Julio,Bar Notable,,Larrazabal 1276,-34.650998,-58.502491,Mataderos,Comuna 9,OPERATIVO,2025-10-16,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación documento,NO,SI,Fuera de la geometría; asociación documental explícita.,DOCUMENTO,SI,NO,887.628
POLO-Z33,Mataderos,HITO-H012,BAR OVIEDO,Bar Notable,,Av. Lisandro de la Torre 2407,-34.662711,-58.500062,Mataderos,Comuna 9,OPERATIVO,2021-03-01,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,93.997
POLO-Z33,Mataderos,HITO-PAT-002,Bar Catedral Tango,patrimonio,Sitio de Interes Cultural,Timoteo Gordillo 2498,-34.662959,-58.501138,Mataderos,Comuna 9,SIN_VERIFICAR,,Sitio de Interes Cultural,https://buenosaires.gob.ar/noticias/reconocimiento-uno-de-los-lugares-mas-emblematicos-de-mataderos,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,SI,4.62
POLO-Z33,Mataderos,HITO-H007,Bar del Glorias,Bar Notable,,Andalgala 1982,-34.659301,-58.510313,Mataderos,Comuna 9,OPERATIVO,2026-04-06,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación documento,NO,SI,Fuera de la geometría; asociación documental explícita.,DOCUMENTO,SI,NO,666.822
POLO-Z33,Mataderos,HITO-PAT-003,Edificios Administrativos del Antiguo Matadero,patrimonio,Monumento Historico Nacional + APH 21,Av. Lisandro de la Torre y Av. de los Corrales,-34.662558,-58.500164,Mataderos,Comuna 9,SIN_VERIFICAR,,Monumento Historico Nacional + APH 21,https://aquimataderosonline.com.ar/patrimonio-historico-arquitectonico-del-barrio-de-mataderos/,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,99.319
POLO-Z33,Mataderos,HITO-DIR-011,El Cedron,pizzería histórica,APYCE + GCBA (2026),Av. Juan B. Alberdi 6101,-34.65369,-58.504823,Mataderos,Comuna 9,SIN_VERIFICAR,2025-06-27,APYCE + GCBA (2026),https://turismo.buenosaires.gob.ar/es/otros-establecimientos/el-cedron,alta,referente documentado; asignación documento,NO,SI,Fuera de la geometría; asociación documental explícita.,DOCUMENTO,SI,NO,691.169
POLO-Z35,Balvanera · Once,HITO-H024,CAFE DE LOS ANGELITOS,Bar Notable,,Av. Rivadavia 2100,-34.609527,-58.396007,Balvanera,Comuna 3,OPERATIVO,2026-05-25,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación documento,NO,SI,Fuera de la geometría; asociación documental explícita.,DOCUMENTO,SI,NO,759.33
POLO-Z35,Balvanera · Once,HITO-ICO-005,El Tropezón,Restaurante Icónico,,CALLAO AV. 248,-34.606226,-58.392259,Balvanera,Comuna 3,SIN_VERIFICAR,,Restaurante Icónico,https://turismo.buenosaires.gob.ar/es/gastronomico/el-tropezon,alta,referente documentado; asignación documento,NO,SI,Fuera de la geometría; asociación documental explícita.,DOCUMENTO,SI,NO,741.775
POLO-Z35,Balvanera · Once,HITO-H032,Roma del Abasto,Bar Notable,,Anchorena 806,-34.599397,-58.408726,Balvanera,Comuna 3,OPERATIVO,2026-08-08,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación documento,NO,SI,Fuera de la geometría; asociación documental explícita.,DOCUMENTO,SI,NO,323.25
POLO-Z37,Almagro,HITO-H045,12 de octubre,Bar Notable,,Bulnes 331,-34.607009,-58.418597,Almagro,Comuna 5,OPERATIVO,2026-08-07,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación documento,NO,SI,Fuera de la geometría; asociación documental explícita.,DOCUMENTO,SI,NO,290.078
POLO-Z37,Almagro,HITO-H054,EL SIMBOLO,Bar Notable,,Av. Corrientes 3787,-34.603404,-58.417844,Almagro,Comuna 5,OPERATIVO,2026-08-07,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación documento,NO,SI,Fuera de la geometría; asociación documental explícita.,DOCUMENTO,SI,NO,286.644
POLO-Z37,Almagro,HITO-H044,El Banderin,Bar Notable,,Guardia Vieja 3601,-34.601649,-58.415489,Almagro,Comuna 5,OPERATIVO,2026-06-16,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación documento,NO,SI,Fuera de la geometría; asociación documental explícita.,DOCUMENTO,SI,NO,117.258
POLO-Z37,Almagro,HITO-ICO-003,El Mirasol de Boedo,Restaurante Icónico,,BOEDO 136,-34.612897,-58.417618,Almagro,Comuna 5,SIN_VERIFICAR,,Restaurante Icónico,https://turismo.buenosaires.gob.ar/es/otros-establecimientos/el-mirasol-de-boedo,alta,referente documentado; asignación documento,NO,SI,Fuera de la geometría; asociación documental explícita.,DOCUMENTO,SI,SI,48.731
POLO-Z37,Almagro,HITO-DIR-019,El Trebol 1969,pizzería histórica,APYCE + GCBA (2026),Av. Angel Gallardo 3,-34.602299,-58.432442,Almagro,Comuna 5,SIN_VERIFICAR,,APYCE + GCBA (2026),https://www.pizzeriaeltrebol1969.com.ar/,alta,referente documentado; asignación documento,NO,SI,Fuera de la geometría; asociación documental explícita.,DOCUMENTO,SI,NO,766.944
POLO-Z37,Almagro,HITO-H071,LAS VIOLETAS,Bar Notable,,Av. Rivadavia 3899,-34.611314,-58.420777,Almagro,Comuna 5,OPERATIVO,2026-07-07,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,62.885
POLO-Z37,Almagro,HITO-H063,La Orquidea,Bar Notable,,Av. Corrientes 4101,-34.602917,-58.42267,Almagro,Comuna 5,OPERATIVO,2026-08-07,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,131.455
POLO-Z37,Almagro,HITO-DIR-006,Pin Pun,pizzería histórica,APYCE + GCBA (2025),Av. Corrientes 3954,-34.603323,-58.42031,Almagro,Comuna 5,SIN_VERIFICAR,,APYCE + GCBA (2025),https://www.cronista.com/clase/gourmet/la-pizzeria-historica-que-es-la-mas-antigua-de-caba-y-fue-elegida-como-la-mejor-de-la-ciudad-en-varias-oportunidades/,media,referente documentado; asignación documento,NO,SI,Fuera de la geometría; asociación documental explícita.,DOCUMENTO,SI,NO,60.799
