polo_id,nombre_propuesto,nombre_en_ficha,nombre_mapa,nivel_del_nombre,fuente_del_nombre,marca_ficha,verificar_contenencia_normativa,nota,n_locales,barrios,comunas,calles_dominantes
P033,La Boca · Av. Almirante Brown y Necochea,La Boca · Av. Almirante Brown y Necochea°,,4,denominacion de trabajo,°,si,NO usar 'la calle de las cantinas': las cantinas de Necochea funcionaron hasta los 80 y ya no existen. Verificar Distrito de las Artes.,52,La Boca (52),4,Brown (10); Necochea (3); Wenceslao Villafane (3); Suarez (1); Olavarria (1); Martin Rodriguez (1)
P095,Recoleta · Av. Las Heras y Av. Callao,Recoleta · Av. Las Heras y Av. Callao°,,4,denominacion de trabajo,°,no,,52,Recoleta (52),2,Vicente Lopez (7); Las Heras (4); Jose Andres Pacheco De Melo (3); Callao (3); Ayacucho (2); Rodriguez Pena (2)
P094,Monserrat · Lima y México,Monserrat · Lima y México°,,4,denominacion de trabajo,°,no,,51,Monserrat (51),1,Salta (13); Mexico (4); Lima (4); Chile (3); Belgrano (3); Republica Bolivariana De Venezuela (3)
P070,Saavedra · Av. Cabildo y Ramallo,Saavedra · Av. Cabildo y Ramallo°,,4,denominacion de trabajo,°,no,,50,Saavedra (28); Nuñez (22),12; 13,Cabildo (12); San Isidro Labrador (4); Ramallo (3); Cuenca (1); Pico (1); Arias (1)
P015,Parque Chacabuco · Av. Asamblea,Parque Chacabuco · Av. Asamblea°,,4,denominacion de trabajo,°,no,,50,Parque Chacabuco (50),7,Asamblea (10); Barco Centenera (4); Avelino Diaz (2); Barco Del Centenera (2); Castanares (1); Del Barco Centenera (1)
P009,Parque Avellaneda · Av. Directorio y Lacarra,Parque Avellaneda · Av. Directorio y Lacarra°,,4,denominacion de trabajo,°,no,,50,Parque Avellaneda (26); Velez Sarsfield (14); Floresta (10),9; 10,Directorio (13); Lacarra (4); Juan Bautista Alberdi (4); Olivera (4); Jose Bonifacio (2); Bolanos (1)
P067,Bajo Núñez,Bajo Núñez,Bajo Núñez,3,"uso corriente · definicion periodistica, debil",,no,Franja entre Vuelta de Obligado y Av. del Libertador.,49,Nuñez (49),13,Crisologo Larralde (10); 11 De Septiembre (4); Arribenos (3); Del Libertador (2); Nunez (2); Jaramillo (1)
P008,Distrito de Diseño (Barracas),Distrito de Diseño (Barracas),Distrito de Diseño,1,Ley 4761/2013,,si,Av. Iriarte y California estan entre sus calles caracteristicas. VERIFICAR contenencia. Los Laureles (notable) en Av. Iriarte 2290.,49,Barracas (49),4,Vieytes (9); Iriarte (5); San Antonio (4); California (1); Goncalves Dias (1)
P006,Feria de Mataderos y Casco Histórico,Feria de Mataderos y Casco Histórico,Feria de Mataderos,2,"Feria gestionada por el GCBA, de interes nacional; APH 21 y Monumento Histórico Nacional",,si,Av. de los Corrales y Av. Lisandro de la Torre: coincide exactamente. Bar Oviedo (notable). VERIFICAR APH.,48,Mataderos (48),9,De Los Corrales (15); Lisandro De La Torre (9); Cosquin (2); Cardenas (1); Guamini (1)
P072-5,Belgrano · Av. Cabildo y Virrey del Pino,Belgrano · Av. Cabildo y Virrey del Pino°,,4,denominacion de trabajo,°,no,,48,Colegiales (24); Belgrano (17); Palermo (7),13; 14,Cabildo (18); Virrey Del Pino (4); Jose Hernandez (2); Cespedes (1); Virrey Olaguer Y Feliu (1); Virrey Arredondo (1)
P059,Flores · Av. Nazca y Av. Rivadavia,Flores · Av. Nazca y Av. Rivadavia°,,4,denominacion de trabajo,°,no,"Cerca del polo textil de Av. Avellaneda, que es la mayor concentracion comercial del oeste.",48,Flores (48),7,Nazca (8); Rivadavia (6); San Pedrito (2); Yerbal (2); Venancio Flores (1); Bacacay (1)
P105,Barrio Norte · Agüero y Laprida,Barrio Norte · Agüero y Laprida°,,4,denominacion de trabajo,°,no,,48,Recoleta (48),2,Aguero (6); French (3); Pueyrredon (3); Laprida (2); Juncal (2); Martiniano Chilavert (1)
P083,Almagro · Perón y Gascón,Almagro · Perón y Gascón°,,4,denominacion de trabajo,°,no,,47,Almagro (47),5,Juan Domingo Peron (8); Gascon (5); Sarmiento (2); Eva Peron (2); Estado De Palestina (1); Corrientes (1)
P025-2,Monte Castro · Av. Lope de Vega,Monte Castro · Av. Lope de Vega°,,4,denominacion de trabajo,°,no,,47,Monte Castro (40); Villa Luro (7),10,Lope De Vega (12); Alvarez Jonte (7); Cuenca (1); La Nina (1); Calderon De La Barca (1); Jose Maria Verduga (1)
P058,Flores · Av. Carabobo y Av. Directorio,Flores · Av. Carabobo y Av. Directorio°,,4,denominacion de trabajo,°,no,"NO es el Barrio Coreano: Baek-ku esta sobre Carabobo entre Castañares y Eva Perón, mas al sur.",46,Flores (43); Parque Chacabuco (3),7,Carabobo (10); Directorio (5); Boyaca (4); Juan Bautista Alberdi (2); Rivadavia (2); Fray Luis Beltran (1)
P007,Bajo Belgrano,Bajo Belgrano,Bajo Belgrano,3,uso corriente,,no,"Sucre, Figueroa Alcorta, La Pampa y Castañeda. OJO: el limite sur esta en disputa (Zabala segun la ley, Av. Olleros segun varios historiadores).",45,Belgrano (45),13,Antonio Jose De Sucre (8); Figueroa Alcorta (2); La Pampa (2); Castaneda (2); Echeverria (1); Ramsay (1)
P054,Caballito · Av. Rivadavia y Curapaligüe,Caballito · Av. Rivadavia y Curapaligüe°,,4,denominacion de trabajo,°,no,,45,Caballito (27); Flores (18),6; 7,Rivadavia (8); Curapaligue (3); Bacacay (3); Yerbal (3); Donato Alvarez (3); Banfi (1)
P064,Palermo · Plaza Italia y Av. del Libertador,Palermo · Plaza Italia y Av. del Libertador°,,4,denominacion de trabajo,°,no,,45,Palermo (45),14,Sinclair (5); Del Libertador (5); Cervino (3); Infanta Isabel (3); Demaria (2); Juan Francisco Segui (2)
P029,Boedo · Av. Boedo y Pavón,Boedo · Av. Boedo y Pavón°,,4,denominacion de trabajo,°,no,,45,Boedo (45),5,Pavon (9); Boedo (7); Juan De Garay (4); Inclan (3); Castro Barros (2); Castro (1)
P080,Villa Crespo · Av. Corrientes y Scalabrini Ortiz,Villa Crespo · Av. Corrientes y Scalabrini Ortiz°,,4,denominacion de trabajo,°,no,,44,Villa Crespo (44),15,Corrientes (12); Raul Scalabrini Ortiz (6); Vera (2); Araoz (2); Luis Maria Drago (1); Malabia (1)
P071,Colegiales · Federico Lacroze y Zapiola,Colegiales · Federico Lacroze y Zapiola°,,4,denominacion de trabajo,°,no,"Cerca del Mercado de Colegiales (Conde y Concepcion Arenal), que la prensa llama 'Polo Concepcion'.",44,Colegiales (44),13,Federico Lacroze (14); Capitan Ramon Freire (2); Zapiola (1); Conesa (1); Colegiales (1)
P001,Costanera Norte,Costanera Norte,,3,uso corriente · Patio Costanera Norte figura en el listado del GCBA,,no,Familia multiparte: los vacios entre partes se preservan a proposito.,44,Palermo (44),14,Costanera Rafael Obligado (18); Aeroparque Jorge Newbery (Aep) (7); Terminal (1)
P072-1,Núñez · Av. Cabildo y Crisólogo Larralde,Núñez · Av. Cabildo y Crisólogo Larralde°,,4,denominacion de trabajo,°,no,,43,Nuñez (39); Saavedra (4),12; 13,Cabildo (15); Crisologo Larralde (2); Juana Azurduy (2); Comodoro Martin Rivadavia (2); Campos Salles (1); Azurduy Juana (1)
P060,Casco Histórico de Flores,Casco Histórico de Flores,Casco Histórico de Flores,1,APH 15 del Codigo Urbanistico,,si,Entorno de la Basilica de San José de Flores (Rivadavia 6950) y Plaza Pueyrredón. VERIFICAR contenencia.,43,Flores (43),7,Rivadavia (6); Ramon L Falcon (4); Esteban Bonorino (3); Rivera Indarte (3); Gavilan (1); Membrillar (1)
P010,Vélez Sársfield · Segurola y César Díaz,Vélez Sársfield · Segurola y César Díaz°,,4,denominacion de trabajo,°,no,,43,Floresta (26); Velez Sarsfield (17),10,Segurola (11); Sanabria (3); Alejandro Magarinos Cervantes (3); Cesar Diaz (2); San Blas (2); Camarones (1)
P031,Floresta · Av. Gaona y Segurola,Floresta · Av. Gaona y Segurola°,,4,denominacion de trabajo,°,no,,42,Floresta (32); Velez Sarsfield (10),10,Gaona (6); Segurola (4); Juan B Justo (3); Avellaneda (2); Mercedes (2); Juan Bautista Justo (2)
P023,Villa Pueyrredón · Av. Artigas,Villa Pueyrredón · Av. Artigas°,,4,denominacion de trabajo,°,no,,42,Villa Pueyrredon (42),12,Jose Gervasio Artigas (7); Jose G Artigas (2); Cochrane (1); Jose Leon Cabezon (1); Ladines (1); Estado Plurinacional De Bolivia (1)
P025-1,Monte Castro · Álvarez Jonte y Segurola,Monte Castro · Álvarez Jonte y Segurola°,,4,denominacion de trabajo,°,no,,42,Monte Castro (42),10,Alvarez Jonte (12); Segurola (5); Allende (1); Miranda (1); Benito Juarez (1)
P013,Mataderos · Av. Alberdi y Saladillo,Mataderos · Av. Alberdi y Saladillo°,,4,denominacion de trabajo,°,no,,42,Mataderos (42),9,Juan Bautista Alberdi (13); Andalgala (2); Saladillo (1); Cuenca (1); Bragado (1); Severo Garcia Grande De Zequeira (1)
P050,Caballito · Honorio Pueyrredón y Felipe Vallese,Caballito · Honorio Pueyrredón y Felipe Vallese°,,4,denominacion de trabajo,°,no,,42,Caballito (42),6,Hidalgo (7); Doctor Honorio Pueyrredon (4); Felipe Vallese (3); Arengreen (2); Honorio Pueyrredon (2); Mendez De Andes (1)
P069,Belgrano · Echeverría y Conde,Belgrano · Echeverría y Conde°,,4,denominacion de trabajo,°,no,,42,Belgrano (42),13,Echeverria (8); Zapiola (4); Juramento (3); Conde (2); Cap Ramon Freire (1); Cramer (1)
P102,Bulevar Caseros,Bulevar Caseros,Bulevar Caseros,3,uso corriente consolidado; Turismo BA lo reconoce en la guia de Barracas,,no,Av. Caseros entre Defensa y Av. Montes de Oca.,42,San Telmo (35); Barracas (7),1; 4,Defensa (7); Brasil (5); Caseros (3); Bolivar (2); Juan De Garay (2); Cochabamba (1)
P035,Villa Devoto · Av. Gral. Mosconi y Av. San Martín,Villa Devoto · Av. Gral. Mosconi y Av. San Martín°,,4,denominacion de trabajo,°,si,"Concordia, Campana y Av. San Martín estan en el perimetro del Distrito del Vino (Ley 6447 art. 2). VERIFICAR.",42,Villa Devoto (37); Villa Pueyrredon (5),11; 12,Mosconi (7); San Martin (5); Fernandez De Enciso (2); Concordia (1); Campana (1); Bacon (1)
P011,Saavedra · entorno Dot Baires,Saavedra · entorno Dot Baires°,,4,denominacion de trabajo,°,no,,41,Saavedra (41),12,Vedia (8); Dot Baires Shopping (3); Tronador (2); Posta (2); Melian (2); Pico (1)
P019,San Cristóbal · Av. Jujuy y Av. Brasil,San Cristóbal · Av. Jujuy y Av. Brasil°,,4,denominacion de trabajo,°,no,,41,Parque Patricios (26); San Cristobal (15),3; 4,Brasil (5); Alberti (4); Jujuy (3); Juan De Garay (3); Matheu (2); Inclan (1)
P036,Av. Gaona y Boyacá,Av. Gaona y Boyacá°,,4,denominacion de trabajo,°,no,,41,Flores (28); Villa Gral. Mitre (12); Villa Santa Rita (1),7; 11,Gaona (15); Boyaca (3); Gavilan (2); Jose Gervasio Artigas (1)
P096,La Isla (Recoleta),La Isla (Recoleta),La Isla (Recoleta),3,uso corriente,,no,"Las Heras, Pueyrredón, Del Libertador y Agüero: coincide. DESAMBIGUAR de La Isla de La Paternal.",41,Recoleta (41),2,Las Heras (6); Aguero (4); Juan Maria Gutierrez (4); Pueyrredon (3); Jose Andres Pacheco De Melo (1); 1425 (1)
P109,Av. Callao entre Córdoba y Paraguay,Av. Callao entre Córdoba y Paraguay°,,4,denominacion de trabajo,°,no,,41,San Nicolas (14); Recoleta (14); Balvanera (13),1; 2; 3,Callao (7); Cordoba (5); Viamonte (2); Paraguay (1); Riobamba (1)
P039,DoHo (Donado-Holmberg) · tramo norte,DoHo (Donado-Holmberg) · tramo norte,,3,idem,,no,Holmberg de Av. Monroe a Sucre.,41,Villa Urquiza (41),12,Monroe (9); Holmberg (5); Olazabal (2); Mariano Acha (2); Donado (1); Lugones (1)
P055,Balvanera · Av. La Rioja e Independencia,Balvanera · Av. La Rioja e Independencia°,,4,denominacion de trabajo,°,no,,40,Balvanera (40),3,La Rioja (9); Urquiza (6); Mexico (2); Independencia (2); Agrelo (1); Belgrano (1)
P049,Caballito · entorno Hospital Italiano,Caballito · entorno Hospital Italiano°,,4,denominacion de trabajo,°,no,,40,Caballito (40),6,Rivadavia (14); Fragata Sarmiento (1); Jose Juan Biedma (1); Gascon Hospital Italiano (1); Victor Martinez (1)
P034,Monte Castro · Av. Álvarez Jonte,Monte Castro · Av. Álvarez Jonte°,,4,denominacion de trabajo,°,no,,40,Monte Castro (14); Villa Del Parque (14); Villa Santa Rita (12),10; 11,Alvarez Jonte (9); Emilio Lamarca (4); Miranda (2); Bahia Blanca (2); Lascano (1); Tokio (1)
P072-3,Belgrano R,Belgrano R,Belgrano R,3,uso corriente · viene del nombre de la estacion,,no,Al oeste de Av. Cramer. Los limites de Belgrano R no tienen definicion canonica unica.,40,Belgrano (40),13,Monroe (13); Cramer (3); Zapiola (1); Ricardo Balbin (1); Vidal (1); Moldes (1)
