polo_id,nombre_ficha,origen,comunas,barrios,estado,n_vias,morfologia,perimetro_textual,anclaje_normativo,via_A,via_B,via_C,via_D,via_E,via_F,via_E_texto_publicable,n_grupos_E,n_locales,ha,hitos_conocidos,alerta_de_vigencia,nota_de_delimitacion,decisiones_aplicadas,que_falta_para_la_ficha
Z33,Mataderos,zona nueva,9,Mataderos,ENTRA,5,sistema de subpolos,Feria y Mercado de Hacienda (Av. Lisandro de la Torre y Av. de los Corrales) + El Cedron a mas de un kilometro + notables dispersos. Eje comercial IDECBA corregido: Av. Alberdi 5501-6299.,El Cedron: de Interes Cultural por la Legislatura (2013),abre,abre,"abre (Feria de Mataderos, 500 puestos)","ABRE (especializacion de rubro: parrilla y asado, con anclaje productivo en el Mercado de Hacienda)",ABRE,no abre,TimeOut trata a Mataderos como destino gastronomico y releva sus bodegones y pizzerias (2025).,2,,,"Bar Oviedo (Av. Lisandro de la Torre 2407, Bar Notable + CPPHC, PROBABLEMENTE ABIERTO v5 22/04/2026) · 9 de Julio (Larrazabal 1276, DUDOSO) · Bar del Glorias (Andalgala 1982, PROBABLEMENTE ABIERTO v4 06/04/2026) · El Cedron (Av. Juan B. Alberdi 6101 esq. Murguiondo, 1935, DUDOSO)","TRES DE CUATRO SIN RESOLVER. El 9 de Julio ya cerro una vez, el 06/08/2019, por tarifas y alquiler, y reabrio en 2021 con nuevos duenos. El Cedron tiene la ficha desactualizada y su propia resena lo dice: 'el telefono NO CORRESPONDE A LA PIZZERIA'.",LA VERIFICACION DE ACTIVIDAD MAS RECIENTE DE TODO EL relevamiento: la Feria cumplio 40 anos en 2026 y La Nacion lo cubrio el 12/06/2026.,,Es la zona con mas hitos sin resolver. Vias cortas: @el_cedron y @gloriasargentinas.oficial.
Z37,Almagro,zona nueva,5,Almagro (excluido el sector Abasto/R13),ENTRA,5,sistema de subpolos,"Nucleo Guardia Vieja-Bulnes + corredor Av. Corrientes 3500-4200 + nodo Rivadavia y Medrano. CUATRO LOCALES EN TRES CUADRAS DE GUARDIA VIEJA, dos de ellos enfrentados en la misma esquina (3601 y 3602).",sin anclaje normativo unico; cinco Bares Notables del catalogo,abre,abre,no abre (cerrada en etapa 13: una FIAB no abre la vía C),"abre (barrio-mosaico: peruana, espanola, gallega, judia, japonesa, italiana, venezolana)",ABRE,abre,Almagro reune cinco Bares Notables y es tratado por prensa nacional y guias especializadas como circuito gastronomico y cultural propio desde 2015.,6,,,"LOS CINCO, TODOS VERIFICADOS ABIERTOS ESTA SEMANA: El Banderin (Guardia Vieja 3601, 1923, v3 16/06/2026) · El Boliche de Roberto (Bulnes 331, origen 1893, v2 07/08/2026) · El Simbolo (Av. Corrientes 3787, 1954, v2 07/08/2026) · La Orquidea (Av. Corrientes 4101, alta 2026, v5) · Las Violetas (Av. Rivadavia 3899, v3 07/07/2026)","Los cinco verificados. Los establecimientos nuevos (Dona, La Cresta, Musetta, Aport, Guarda La Vieja) sin verificacion posterior a diciembre de 2025.","UNICA ZONA DEL relevamiento QUE ABRE LAS SEIS VIAS. Y EL CASO QUE PRUEBA EL CRITERIO DE ESCALA: el fragmento PGR_P083 mide 5,7 ha, el barrio 405, y ninguno de los cinco Notables cae adentro. SOLAPE CON R13 A DEPURAR: La Reina Kunti (Humahuaca 3461), Lupo (Lavalle 3491), Los Trujillanitos (Av. Corrientes 3564) y Roma del Abasto (Anchorena 806).",1 (revisar via C),"Confirmar por que abre la via C. Si es solo por feria itinerante, cae por decision 1 y quedan cinco vias."
Z39,Parque Avellaneda,zona nueva,9,Parque Avellaneda,ENTRA,5,nucleo con anillo de parque,Anillo del Parque Avellaneda sobre Av. Olivera y Av. Lacarra.,sin anclaje normativo,abre,abre,no abre,abre,ABRE,abre,TimeOut dedica una guia de barrio a Parque Avellaneda por sus bodegones historicos sobre Olivera y Lacarra.,2,,,La Barra del Parque (Lacarra 836) · De Flores Cafe (Lacarra 1500) · Viejo Mercado (Av. Olivera 1557),Los tres dudosos.,"OJO CON UN NOMBRE QUE ENGANA: 'Viejo Mercado' es el nombre de fantasia de un bodegon, NO un mercado en actividad. Por eso la via C no abre.",15 (Baek-ku se separa),Baek-ku sale de esta ficha y va con la suya.
Z39b,Baek-ku · Barrio Coreano,zona nueva · FICHA PROPIA,7,Flores (Bajo Flores),ENTRA,4,corredor,"Av. Carabobo entre Av. Castanares y Av. Eva Peron, SIETE CUADRAS. Al sur de Flores, en el limite con Parque Chacabuco.","ninguna norma. El GCBA lo reconoce como producto turistico (Barrio Coreano, Circuito 2): reconocimiento administrativo blando.",abre,sin evidencia,no abre,ABRE (E03 coreana),ABRE,abre,El Barrio Coreano de Carabobo tiene cobertura sostenida de prensa nacional y de medios estatales coreanos (2023-2026).,2,,,"SOLO 'Una Cancion Coreana', SIN DIRECCION. Deficit serio de la ficha: no se consiguio un solo establecimiento con nombre y altura.",Ningun establecimiento tiene nombre y direccion publicados que permitan verificar vigencia individual. Es la fragilidad central del hallazgo.,"DOS CORRECCIONES QUE VAN EN LA FICHA. Primera: 'BAEK-KU' SIGNIFICA LITERALMENTE 'CIENTO NUEVE', por la linea 109 de colectivos. NO es un toponimo coreano. Segunda: la adjudicacion a Parque Chacabuco es erronea pero tiene raiz real, porque Av. Carabobo ES el limite entre Flores y Parque Chacabuco y la vereda impar puede caer del otro lado. Territorialmente es Bajo Flores, Comuna 7. Y LA FUENTE OFICIAL DEL GCBA ES LA QUE ARRASTRA EL ERROR.",15,Conseguir establecimientos con altura de puerta. Es el hallazgo con mas cobertura y menos verificabilidad del Atlas.
Z40,Nueva Pompeya y Parque Patricios,zona nueva,4,"Nueva Pompeya, Parque Patricios",ENTRA,6,sistema de subpolos,Av. Caseros / Distrito Tecnologico + Av. Saenz / Mercado de Pompeya + Barrio Charrua.,Distrito Tecnologico (sin gancho gastronomico en su norma),abre,abre,"abre (Mercado de Pompeya, en actividad)","ABRE (comunidad boliviana de Barrio Charrua, POR PRACTICA CULTURAL, no por establecimientos)",ABRE,abre,"Perfil describe a Parque Patricios como polo gastronomico del sur porteno, con oferta crecida al calor del Distrito Tecnologico sobre el eje Av. Caseros.",2,,,"El Buzon (Esqui 1393 esq. Tabare, Bar Notable de 1930, ligado a Homero Manzi y a los versos de 'Sur', VERIFICADO ABIERTO v2 07/08/2026) · El Globito (Av. Caseros 3159, frente al Palacio Duco, pizzeria de 1934) · Mercado de Pompeya (Av. Saenz y Perito Moreno, en actividad) · LA BLANQUEADA (Av. Saenz y Rabanal, desde 1802) CERRADA EN 2017","EL BUZON EN RETRACCION: atiende solo lunes a viernes de 7 a 16, una reduccion fuerte respecto de sus horarios anteriores, que incluian programacion nocturna y de fin de semana. FALTA CAPTURAR EL HORARIO ACTUAL: bajar de las 16 seria el escalon siguiente.","LA VIA D ABRE POR COMUNIDAD Y PRACTICA CULTURAL, NO POR ESTABLECIMIENTOS: Barrio Charrua (Barrio General San Martin) es enclave boliviano desde 1957 y celebra la Fiesta de la Virgen de Copacabana desde 1972, pero NINGUNA fuente documenta oferta comercial estable. Estado: medida_sin_enclave. Y tiene el mejor perimetro fisico del Atlas: Av. Bonorino, Av. Fernandez de la Cruz y las vias del Belgrano Sur.",,La Blanqueada explica por que el eje de Av. Saenz hoy no se sostiene solo.
Z41,Nunez,zona nueva,13,Nunez,ENTRA,5,sistema de subpolos,"Corredor Crisologo Larralde entre Av. del Libertador y Av. Cabildo + corredor bajo viaducto Mitre + nucleo disperso de bistros en Campos Salles, O'Higgins y Grecia. Nunez propiamente dicho empieza al norte de Av. Congreso.",sin anclaje normativo,abre,abre,abre (el bajo viaducto como centralidad lineal),no abre,ABRE,abre,"Nunez es tratado como destino gastronomico por prensa nacional y extranjera desde 2015, con foco en Crisologo Larralde y el bajo viaducto Mitre; Michelin recomienda Ness en 2026.",6,,,"La Escuela (Manuela Pedraza 2803, Bar Notable, ALTA 2026) · Ness (Grecia 3691, recomendado Guia Michelin Argentina 2026) · Evelia (Campos Salles 1712, Apertura del Ano Time Out 2024) · Piedra Pasillo (Campos Salles 2145) · L'Apero (Ibera 1800) · Vereda Adentro (11 de Septiembre 3201) · Kalis Pizza (O'Higgins 3578) · Hola Chola (Paroissien 1871) · La Pescaderia (Crisologo Larralde 1716) · Baja America (O'Higgins 3424) · Citio (Av. Cdoro. Martin Rivadavia 1719)","El conteo de 58 locales del viaducto es de enero de 2025, sin actualizacion posterior.","LA UNICA CIFRA DURA DE DENSIDAD DE TODO EL relevamiento DOCUMENTAL: 58 locales inaugurados en tres tramos, 3,5 km de traza desde Federico Lacroze y Libertador hasta Av. Monroe, y 80.000 a 100.000 personas los fines de semana. ADVERTENCIA DEL REPO: los 58 son INAUGURADOS y la base cuenta todo — son dos universos y la cifra no entra a ninguna columna.",,Resolver el solapamiento: el extremo sur del viaducto toca R19 y el tramo Blanco Encalada-Monroe cae en Belgrano (R05).
Z42,Coghlan,zona nueva,12,Coghlan,ENTRA (POR EL MINIMO),2,nucleo compacto en torno a la estacion,"Entorno de la estacion Coghlan. Washington, Romulo Naon, Conesa, Quesada.",sin anclaje normativo,"NO ABRE (8 locales dispersos en ~10 cuadras, sin continuidad)",sin evidencia,abre (Little Italia Market),sin evidencia,ABRE,no abre,"Coghlan es tratado como barrio-destino por Time Out (guia de barrio, 02/2026) y por La Nacion, que en 2022 le atribuye una convocante movida gastronomica.",2,,,Little Italia Market (Romulo Naon 2701) · AHORA Buenos Aires (Nunez 3802) · Feriado Cantina (Washington 3498) · Panaderia y Confiteria La Colon (Av. Monroe 4451) · Buffet El Tabano (Romulo Naon 3029) · Mucho Cafe (Conesa 2686) · Cafe Olivia House (Tomas Le Breton 4096) · Curuzu Cafe (Quesada 3294),"Los 8 locales provienen de UNA sola fuente sin verificacion cruzada. CERO Bares Notables en Coghlan, verificado contra el catalogo completo.",ES EL CASO MAS EXPUESTO DE LOS QUE ENTRAN. La via C depende de UN SOLO LOCAL relevado por LA MISMA FUENTE que sostiene la mitad de la via E: las dos vias se acercan peligrosamente a un unico origen documental. Y la via B se cayo por una puerta cerrada: La Colon es descrita como 'panaderia historica' pero su sitio bloquea por robots y no se pudo acreditar los 50 anos.,,"SI EL REPOSITORIO NO CONFIRMA DENSIDAD POR CONTEO, HAY QUE REVISARLA. Densidad actual: 0,84 loc/ha, la mas baja de las cinco que entran en el norte."
Z43,Colegiales,zona nueva,13,Colegiales,ENTRA,6,sistema de subpolos,Eje Concepcion Arenal-Zapiola + Polo Concepcion + Mercado de Pulgas. ES LO QUE QUEDA PROPIO Y AFUERA de R19 y R09.,Mercado de Pulgas: Sitio de Interes Cultural por la Legislatura,abre,abre,"abre (Mercado de Pulgas, en actividad)",abre (cervecerias y cafes de especialidad),ABRE,abre,Colegiales aparece en prensa nacional como corredor gastronomico desde 2023 (Polo Concepcion) y en 2026 Canal 26 lo integra a 'Chacagiales'.,4,,,"Bar Conde (Av. Federico Lacroze 3193, EN FUNCIONAMIENTO DESDE 1902, primer Notable de la Comuna 13, ALTA 2026, verificado abierto al 29/07/2026) · Mercado de Pulgas (Gral. Enrique Martinez 50, martes a domingo 11-19, 160 puestos interiores y 7 locales a la calle, CON BAR PROPIO) · Osaka · Antiche Tentazioni · La Fabrica del Taco · Niniveh · La Bici","El relevamiento de cervecerias es de 2017: nueve anos, ninguno de los seis locales confirmado. Osaka Colegiales anunciado en 02/2023, sin verificacion de apertura efectiva.","SOLAPAMIENTO FUERTE con R19 (Bar Conde esta sobre el eje mismo) y con R09 via el corredor Chacagiales. DELIMITAR POR Concepcion Arenal-Zapiola, el Polo Concepcion y el Mercado de Pulgas.",,Verificar las seis cervecerias de 2017.
Z44,Villa Ortuzar,zona nueva,15,Villa Ortuzar,ENTRA,4,corredor,"Av. Alvarez Thomas tramo 600-1700, con nucleo secundario en Plaza 25 de Agosto (Giribone, 14 de Julio, Charlone, Bauness).",La Mezzetta: Pizzeria Emblematica APyCE 26/08/2025,NO ABRE (sin conteo por cuadra ni relevamiento de continuidad),abre,NO ABRE (caia la FIAB por decision 1),abre (especializacion cervecera),ABRE,abre,La Nacion califico a Villa Ortuzar de 'nuevo polo de la ciudad' en 2021 y volvio sobre el barrio en julio de 2026; MalevaMag lo incluye en 2025 entre los barrios fuera del circuito trendy.,2,,,La Mezzetta (Av. Alvarez Thomas 1321) · Cerveceria Charlone (Freire 745) · Gallo Negro (Donado 1851) · Simona (Av. Alvarez Thomas 661) · Cullen Henderson (Av. Alvarez Thomas 1106) · Kopem (Av. Alvarez Thomas 1700) · F4 Esquina (Cnel. Manuel Roseti 1596) · Tia Meche (Bauness 1302) · Cantina y Teatro Tai (Charlone 1752) · Suculentas (Heredia 499) · Curva (Caldas 1596),"Cervecerias de 2017. Los cuatro locales de La Nacion son de 2021. CERO Bares Notables, verificado contra el catalogo.","LA MEZZETTA ESTA EN EL BORDE: Av. Alvarez Thomas 1321 es esquina de Av. de los Incas, limite con Chacarita. el equipo CONFIRMO por USIG que cuenta para Z44. El extremo sur del eje (Alvarez Thomas 661) toca Chacagiales y por tanto R19.",1 (la FIAB no abre C),"Con la decision 1, la via C se cae y quedan cuatro vias. Entra igual."
Z46,Retiro,zona nueva · ABSORBE R18,1,Retiro (con derrame a San Nicolas),ENTRA,5,sistema de subpolos,"ABSORBE R18 POR DECISION 5. Nucleo institucional Plaza San Martin / Florida + corredor Arroyo (de Juncal y Esmeralda a Plaza Carlos Pellegrini) + CLUSTER COREANO-ASIATICO sobre Maipu / Esmeralda / Paraguay / M.T. de Alvear, alturas 800-990, entre Plaza San Martin y Av. Cordoba.",sin anclaje normativo,abre,abre,NO ABRE (el Mercado de los Carruajes CERRO en abril de 2025),"ABRE (E09 coreana, con institucion cultural y entidad gremial)",ABRE,abre,Time Out sostiene que Retiro construyo en una decada reputacion como polo gastronomico de la Ciudad; El Cronista lo describe como circuito etnico y La Nacion releva alli 14 cafes y restaurantes de cocinas del mundo.,4,318 (de R18),"48,39 (de R18)","CUATRO BARES NOTABLES EN SEIS CUADRAS: Bar Bar O / BARBARO (Tres Sargentos 415, PROBABLEMENTE ABIERTO v4) · Confiteria Saint Moritz (Esmeralda 894, PROBABLEMENTE ABIERTO v4) · Florida Garden (Florida 899, VERIFICADO ABIERTO v2 07/08/2026) · PLAZA BAR (Florida 1005) CERRADO DESDE EL 29/04/2017. MAS Tancat (Paraguay 645, Restaurante Iconico, VERIFICADO ABIERTO v2 07/08/2026) · Floreria Atlantico (Arroyo 872) · Centro Cultural Coreano (Maipu 972) · Mr. HO (Paraguay 884) · Kimchi Garden (San Martin 687) · Fa Song Song (Esmeralda y M.T. de Alvear) · Kuro Neko (Paraguay 831) · Saigon Noodle Bar (M.T. de Alvear 818)","PLAZA BAR CERRADO DESDE 2017 Y SIGUE EN EL CATALOGO, orden 84 del consolidado firmado el 03/08/2026. Nueve anos. Barbaro tiene una CONTRADICCION DE HORARIO que es ella misma una senal: una fuente le da lunes a sabado y la ficha estructurada un horario mucho mas reducido — es el patron de El Buzon, retraccion antes del cierre. Y EL MERCADO DE LOS CARRUAJES (Av. L. N. Alem 852) CERRO en abril de 2025, y El Cronista, actualizado al 24/09/2025, seguia recomendando dos restaurantes adentro.","R18 SE ABSORBE: el cluster coreano cubre el punto exacto de Esmeralda y Paraguay, y R18 era cuatro veces mas grande que el cluster. La delimitacion responde al CLUSTER, no al limite de barrio: Maipu 972, San Martin 687 y Carlos Pellegrini 1179 caen del lado de San Nicolas.","5, 18, 19",Los cuatro Notables suman tres filas cada uno: es donde mas rinde verificar.
Z47,Monserrat + Congreso,zona nueva · FUSIONA Z36,1 (con derrame a 3),"Monserrat, con borde en San Nicolas y San Telmo",ENTRA,4,corredor con nucleo,"FUSIONA CON Z36 POR DECISION 13. Eje Av. de Mayo - Callao. Av. de Mayo de Peru/Bolivar a Lima/Salta, alturas 500-1300, AMBAS ACERAS, con frentes sobre H. Yrigoyen 1199-1201. Remates: Alsina 420, Peru 86 y 302, Av. Belgrano 599 y 1144, Defensa 695, Solis 475, ochava Entre Rios e Independencia, Av. Callao 248 y 368.","DECRETO 437/1997: Av. de Mayo es LUGAR HISTORICO NACIONAL. Recae sobre el EJE, no sobre un poligono de casco: es mejor anclaje para un polo lineal que el APH1. El APH1 'San Telmo - Monserrat' queda como anclaje de la catalogacion de inmuebles y usos, y SI regula usos parcela por parcela.",abre,ABRE — ES LA VIA MAS DENSA DE LA CIUDAD,NO ABRE (caia la FIAB por decision 1),abre (colectividad espanola con DOS casas regionales con comedor),NO ABRE,abre,no corresponde: la via no abre,1 (e4 discutible),,,"NUEVE DE LOS NOVENTA BARES NOTABLES DE LA CIUDAD: Bar El Colonial (Av. Belgrano 599) · Bar Iberia (Av. de Mayo 1196, reabrio en junio de 2024) · Bar Seddon (Defensa 695, Sitio de Interes Cultural, norma 287/00) · Cabildo de Buenos Aires (Peru 86) · Cafe Tortoni (Av. de Mayo 825, VERIFICADO v3) · El Querandi (Peru 302) · La Puerto Rico (Alsina 420) · London City (Av. de Mayo 599) · Los 36 Billares (Av. de Mayo 1265/71, VERIFICADO v3). MAS El Imparcial (H. Yrigoyen 1201, Restaurante Iconico) · El Globo (H. Yrigoyen 1199, VERIFICADO v3) · Plaza Asturias (Av. de Mayo 1199) · Gran Cafe Gardel (ochava Entre Rios e Independencia, 1935) · Centro Asturiano (Solis 475, con restaurante) · Centro Laurak Bat / Restaurante Haritz (Av. Belgrano 1144) · El Tropezon (Av. Callao 248) · La Academia (MONTEVIDEO 341, se mudo)","Bar Iberia dudoso (reabrio 06/2024 sin confirmacion de 2026). Centro Asturiano dudoso (restaurante confirmado, horario no). London City y Cabildo: en catalogo, vigencia NO verificada. CONFITERIA DEL MOLINO: CERRADA COMO CONFITERIA, a 2026 solo visita guiada — no cargar como oferta.","EL DATO QUE NINGUN CONTEO DE PADRONES CAPTURA: CUATRO ESTABLECIMIENTOS RECONOCIDOS CONVERGEN SOBRE UN UNICO CRUCE, Salta con Av. de Mayo y H. Yrigoyen — Bar Iberia (1196), Plaza Asturias (1199), El Globo (H. Yrigoyen 1199) y El Imparcial (1201). Eso no es una lista, es un nucleo. Y LA VIA D NO ES RELATO: hay dos casas regionales con comedor en funciones dentro del perimetro. DISCREPANCIA A RESOLVER: el catalogo asigna Bar Seddon a Monserrat y la CPPHC a San Telmo. SOLAPAMIENTO CON R12 A REPARTIR.","1, 10, 13","Es el hueco mas grande que tenia el Atlas, y estaba en pleno casco historico."
Z23,Flores · casco historico,zona nueva,7,Flores,PENDIENTE,0,,,,,,,,,,,,,,,"El unico reconocimiento vigente del barrio, La Farmacia (Av. Directorio 2400, VERIFICADO ABIERTO v2 07/08/2026), cae OCHO CUADRAS al sur del poligono propuesto. El corredor de Av. Rivadavia entre Boyaca y Nazca es denso pero TEXTIL: la indumentaria es el 50 % de los locales del eje. Con la decision 1 se cae ademas la via C, que abria solo por FIAB. Queda la via B con un hito fuera del poligono. HAY QUE REDELIMITAR ANTES DE DECIDIR. Capa historica extinguida casi en bloque: Londres (Rivadavia y Boyaca), La Perla (Rivadavia 6900), El Guipuzcoano (Yerbal 2502), La Perla de Flores, Las Orquideas, La Cosechera, El Coleccionista.","1, 14",,
Z25,Floresta,zona nueva,10,Floresta,PENDIENTE,0,,,,,,,,,,,,,,,"Abre cuatro vias, pero con la decision 1 la via C se cae (abria por FIAB 1) y quedan tres. Y su via mas fuerte, la D coreana, SE SOSTIENE SOBRE LAS MISMAS DIRECCIONES QUE Z24: no se puede contar dos veces el Pasaje Ruperto Godoy. Con la decision 17 el enclave se delimita por el cluster, asi que Floresta se queda con lo propio: Casa Bogota (Bogota 3900 esq. Chivilcoy, casona de 1914 de Jose J. Barboni, declarada patrimonio historico, VERIFICADA ABIERTA) y Sinko (Av. Rivadavia 7728). SALVEDAD QUE VA EN LA FICHA: la trayectoria de Casa Bogota es del EDIFICIO, no del establecimiento — el restaurante abrio en 2025.","1, 14, 17",,
Z35,Balvanera · Once,zona nueva,3,Balvanera,PENDIENTE,0,,,,,,,,,,,,,,,"Hay trayectoria e identidad de colectividad reales, pero la densidad actual no esta documentada y el reconocimiento externo apunta afuera. El Cafe de los Angelitos (Av. Rivadavia 2100, VERIFICADO ABIERTO v3 25/05/2026) es su hito solido. EL 'BARRIO COREANO' NO ESTA EN ONCE: esta sobre Av. Carabobo entre Eva Peron y Castanares, en Flores/Bajo Flores. La asociacion Once-coreano es un error corriente que conviene dejar asentado. El Mercado Spinetto quedo PENDIENTE, no descartado: dos fetches fallaron. Enclave E05 judio: 17 gastronomicos y 9 de abastecimiento del padron oficial de 2015, con altura de puerta — Lalo Helueni (Tucuman 2755), Al Galope (2633), El Jaial (2620), Sucat David (2379), Yaffo Kosher (Paso 747). EL POLIGONO DECLARADO POR DAIA ES NOTABLEMENTE MAS GRANDE QUE LA NUBE REAL DE PUERTAS.",13,,
Z48,San Cristobal,zona nueva,3,San Cristobal,PENDIENTE,0,,,,,,,,,,,,,,,"La via B abre por la letra —dos establecimientos con reconocimiento oficial, uno de ellos DOBLE— pero los anclajes distan unas seis cuadras sobre ejes distintos y no configuran la concentracion espacial que exige la definicion. MIRAMAR (Sarandi 1190 / Av. San Juan 1999) ES BAR NOTABLE Y RESTAURANTE ICONICO A LA VEZ: nuestra base lo tenia a medias. Bar de Cao (Av. Independencia 2400, 1915, VERIFICADO ABIERTO v2). EL MERCADO SAN CRISTOBAL NO ABRE LA VIA C: el mas antiguo de la Ciudad, en actividad desde 1882, pero las naves llevan anos cerradas, solo siguen los locales a la calle, y hay proyecto de expropiacion para la Linea F. ESPERA EL CONTEO DEL REPO sobre Av. San Juan 1900-2100 y Av. Independencia 2300-2500.","11, 18",,
Z26,Velez Sarsfield,zona nueva,10,Velez Sarsfield,NO ENTRA,0,,,,,,,,,,,,,,,"CERO ABSOLUTO en las seis vias. Y la fragilidad es instructiva: LOS DOS ESTABLECIMIENTOS CON 'VELEZ' EN EL NOMBRE Y COBERTURA DE PRENSA ESTAN FUERA DEL BARRIO — El Ferroviario (Av. Reservistas Argentinos 219) esta en Liniers y el Buffet GEVS (Joaquin V. Gonzalez 1511) en Villa Santa Rita. El barrio queda vacio por sustraccion: sus referencias nominales pertenecen a otros. CORRECCION DE PREMISA: el estadio Jose Amalfitani NO esta en el barrio Velez Sarsfield, esta en Liniers, Comuna 9.",,,
Z29,Villa del Parque,zona nueva,11,Villa del Parque,NO ENTRA,0,,,,,,,,,,,,,,,"Cero Bares Notables, cero pizzerias emblematicas. Lo unico que abria era Yapa, paseo gastronomico en el SEGUNDO PISO del ex Del Parque Sustentoutlet (Cuenca 3000): UN PATIO BAJO TECHO NO ACREDITA CONTINUIDAD DE VEREDA. Y toda su cobertura se concentra entre septiembre de 2022 y mayo de 2023, sin una sola mencion posterior pese a busqueda dirigida. Los notables mas cercanos estan en Villa Santa Rita, otro barrio de la misma Comuna 11.",1,,
Z30,Villa Real y Versalles,zona nueva,10,"Villa Real, Versalles",NO ENTRA,0,,,,,,,,,,,,,,,"EVIDENCIA NEGATIVA DE FUENTE INSTITUCIONAL: la Hemeroteca de la Legislatura caracteriza a Versalles como el barrio mas silencioso de la Ciudad, con la menor densidad poblacional por restriccion de altura a tres pisos y clasificacion residencial. No es ausencia de datos: es un perfil documentado que CONTRAINDICA densidad. Lo unico que abria era El Fortin, y todas las fuentes lo adscriben a Monte Castro.",,,
Z34,Parque Chas y Agronomia,zona nueva,15,"Parque Chas, Agronomia",NO ENTRA,0,,,,,,,,,,,,,,,"EVIDENCIA NEGATIVA EXPLICITA EN DOS FUENTES INDEPENDIENTES: La Nacion releva siete establecimientos en Agronomia y no describe concentracion alguna; otra fuente arma un recorrido con otros siete igualmente dispersos y aclara que no estan en ruta concentrada. UN RECORRIDO NO ES UNA CONCENTRACION. Sobre Av. de los Constituyentes hay dos puntos —El Faro en el 4099 y La Cabra Dorada en el 3482— separados por seis cuadras sin una sola fuente que documente que hay en el medio. EL FARO (Av. de los Constituyentes 4099 esq. La Pampa, fundado hacia 1931, Bar Notable) PASO DE DUDOSO A PROBABLEMENTE ABIERTO: el hueco de quince anos se cerro con una nota del 17/06/2026 que lo situa como sede de un show con fecha, hora y artista.",,,
Z38,Parque Chacabuco,zona nueva,7,Parque Chacabuco,NO ENTRA,0,,,,,,,,,,,,,,,"EVIDENCIA CONTRARIA, NO NEUTRA: el unico relevamiento de Av. Asamblea (09/11/2019, tramo Emilio Mitre a Del Barco Centenera) describe cierre de comercios tradicionales y reemplazo por franquicias, con vecinos que advierten perdida de identidad. Cero establecimientos en el catalogo. La unica cobertura gastronomica ordena bodegones POR PUNTAJE DE GOOGLE MAPS, que no es criterio editorial, y sus cuatro direcciones estan dispersas en cuatro sectores que no forman ninguna figura. Y ACA ESTA EL HALLAZGO DE METODO: tres fuentes, entre ellas el circuito oficial del GCBA, adjudican el Barrio Coreano a 'Flores y Parque Chacabuco'. La verificacion territorial dice que no. LA FUENTE OFICIAL ES LA QUE ARRASTRA EL ERROR.",,,
Z45,Belgrano R y Barrancas,zona nueva,13,Belgrano,NO ENTRA COMO ZONA AUTONOMA,0,,,,,,,,,,,,,,,"No es que carezca de gastronomia: es que TODA LA EVIDENCIA TERRITORIAL YA ESTA CAPTURADA por R05 Belgrano y R16 Donado-Holmberg. R05 absorbe Barrancas, el Barrio Chino, el Pasaje Echeverria, Av. Cabildo y Casa Watson; R16 absorbe el flanco oeste. El residuo —Pampa Cafe (La Pampa 1117) y Sucre (Sucre 676)— abre una sola via y no configura identidad territorial propia. RECOMENDACION: no abrir referencia y sumar esos dos al inventario de R05.",,,
Z49,Villa Soldati,zona nueva,8,Villa Soldati,NO ENTRA,0,,,,,,,,,,,,,,,"CERO EN LAS SEIS, con los ceros de B y C VERIFICADOS UNO POR UNO CONTRA TRES PADRONES OFICIALES: cero Bares Notables en el anexo de 90 entradas, cero entre los 16 Restaurantes Iconicos, cero Pizzerias Emblematicas en ambas cohortes. Sin mercado en el registro oficial, sin patio en la lista oficial. El proyecto ferial del ex Parque de la Ciudad es PROYECTO NO CONSTRUIDO. La Fiesta de la Alasita es evento anual de UN DIA. DATO CUALITATIVO: la infraestructura alimentaria documentada del barrio es ASISTENCIAL, NO COMERCIAL. Y CON LA DECISION 1 EL CERO SE SOSTIENE: si la FIAB abriera la via C, Villa Soldati pasaria de 0 a 1 y entraria, que es el resultado absurdo que la decision evita.",1,,
