polo,establecimiento,direccion,tipo,reconocimiento,dentro_del_borde,distancia_m,sostiene_condicion_historia,zona_id,origen_del_dato,ubicacion_metodo,estado_vigencia,borde_tentativo,borde_es_propio
Z24 · Flores · Avellaneda y Pasaje Ruperto Godoy,Dashimaki,Ruperto Godoy 770,,,si,0.0,no,Z24,la página,"altura de puerta contra el callejero (centro de cuadra, ±½ cuadra)",,no,si
Z24 · Flores · Avellaneda y Pasaje Ruperto Godoy,Hamra,Aranguren 3192,,,si,0.0,no,Z24,la página,"altura de puerta contra el callejero (centro de cuadra, ±½ cuadra)",,no,si
Z24 · Flores · Avellaneda y Pasaje Ruperto Godoy,Karaoke W,Ruperto Godoy 761,,,si,0.0,no,Z24,la página,"altura de puerta contra el callejero (centro de cuadra, ±½ cuadra)",,no,si
Z24 · Flores · Avellaneda y Pasaje Ruperto Godoy,Makarios,Felipe Vallese 3130,,,si,0.0,no,Z24,la página,"altura de puerta contra el callejero (centro de cuadra, ±½ cuadra)",,no,si
Z24 · Flores · Avellaneda y Pasaje Ruperto Godoy,Maum,Felipe Vallese 3135,,,si,0.0,no,Z24,la página,"altura de puerta contra el callejero (centro de cuadra, ±½ cuadra)",,no,si
Z24 · Flores · Avellaneda y Pasaje Ruperto Godoy,Nacca,Argerich 843,,,si,0.0,no,Z24,la página,"altura de puerta contra el callejero (centro de cuadra, ±½ cuadra)",,no,si
Z24 · Flores · Avellaneda y Pasaje Ruperto Godoy,Pan Moa,Ruperto Godoy 763,,,si,0.0,no,Z24,la página,"altura de puerta contra el callejero (centro de cuadra, ±½ cuadra)",,no,si
Z24 · Flores · Avellaneda y Pasaje Ruperto Godoy,Pulperia Norte,Felipe Vallese 3123,,,si,0.0,no,Z24,la página,"altura de puerta contra el callejero (centro de cuadra, ±½ cuadra)",,no,si
Z24 · Flores · Avellaneda y Pasaje Ruperto Godoy,Shabu Shabu 153,Paez 3154,,,si,0.0,no,Z24,la página,"altura de puerta contra el callejero (centro de cuadra, ±½ cuadra)",,no,si
Z24 · Flores · Avellaneda y Pasaje Ruperto Godoy,Yugane,Paez 3063,,,si,0.0,no,Z24,la página,"altura de puerta contra el callejero (centro de cuadra, ±½ cuadra)",,no,si
Z27 · Villa Santa Rita,Argot,Alvarez Jonte 2744,,,no,0.6,no,Z27,la página,"altura de puerta contra el callejero (centro de cuadra, ±½ cuadra)",,no,no
Z27 · Villa Santa Rita,A Raja Cincha,Cuenca 1299,,,si,0.0,no,Z27,la página,"altura de puerta contra el callejero (centro de cuadra, ±½ cuadra)",,no,no
Z27 · Villa Santa Rita,DON JUAN,Camarones 2702,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),si,0.0,si,Z27,la página y la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,no,no
Z27 · Villa Santa Rita,El Sol de Galicia,LUIS VIALE 2867,,,si,0.0,no,Z27,la página,"altura de puerta contra el callejero (centro de cuadra, ±½ cuadra)",,no,no
Z27 · Villa Santa Rita,El Tokio,Alvarez Jonte 3550,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),si,0.0,si,Z27,la página y la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,no,no
Z27 · Villa Santa Rita,Heladeria Agust,Magarinos Cervantes 3400,,,si,0.0,no,Z27,la página,"altura de puerta contra el callejero (centro de cuadra, ±½ cuadra)",,no,no
Z28 · Monte Castro,Café Olimpo,Irigoyen 1491,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),no,638.3,si,Z28,la página y la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,no,si
Z28 · Monte Castro,Ay Miranda,,,,sin ubicar,,no,Z28,la página,sin ubicar,,no,si
Z28 · Monte Castro,Casa Madrilia,Av. Alvarez Jonte 4702,,,si,0.0,no,Z28,la página,"altura de puerta contra el callejero (centro de cuadra, ±½ cuadra)",,no,si
Z28 · Monte Castro,El Fortin,Av. Alvarez Jonte 5299,Pizzería emblemática,APYCE + GCBA (2025),si,0.0,si,Z28,la página y la capa de reconocimiento,punto de la capa de reconocimiento,si,no,si
Z28 · Monte Castro,La Media Costilla,,,,sin ubicar,,no,Z28,la página,sin ubicar,,no,si
Z28 · Monte Castro,La Renaciente,,,,sin ubicar,,no,Z28,la página,sin ubicar,,no,si
Z32 · Liniers · Mercado Andino,El Ciervo,Carhue 124,Heladería histórica,AFADHYA notables (2025-11),no,128.9,si,Z32,la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
Z32 · Liniers · Mercado Andino,JAMUY,Jose Leon Suarez 100,,,no,61.8,no,Z32,la página,"altura de puerta contra el callejero (centro de cuadra, ±½ cuadra)",,no,si
Z32 · Liniers · Mercado Andino,Pollo Broaster,Ibarrola 7239,,,si,0.0,no,Z32,la página,"altura de puerta contra el callejero (centro de cuadra, ±½ cuadra)",,no,si
Z32 · Liniers · Mercado Andino,Pollo Copacabana,Ibarrola 7276,,,si,0.0,no,Z32,la página,"altura de puerta contra el callejero (centro de cuadra, ±½ cuadra)",,no,si
Z32 · Liniers · Mercado Andino,Restaurante Miriam,Ibarrola 7184,,,si,0.0,no,Z32,la página,"altura de puerta contra el callejero (centro de cuadra, ±½ cuadra)",,no,si
Z32 · Liniers · Mercado Andino,Rico Pollo,Ibarrola 7193,,,si,0.0,no,Z32,la página,"altura de puerta contra el callejero (centro de cuadra, ±½ cuadra)",,no,si
Z32 · Liniers · Mercado Andino,Salteneria El Conejo,Jose Leon Suarez 216,,,si,0.0,no,Z32,la página,"altura de puerta contra el callejero (centro de cuadra, ±½ cuadra)",,no,si
Z33 · Mataderos,9 de Julio,Larrazabal 1276,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),no,887.6,si,Z33,la página y la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,si,no
Z33 · Mataderos,El Cedron,Av. Juan B. Alberdi 6101,Pizzería emblemática,APYCE + GCBA (2026),no,691.2,si,Z33,la página y la capa de reconocimiento,punto de la capa de reconocimiento,dudosa,si,no
Z33 · Mataderos,Bar del Glorias,Andalgala 1982,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),no,666.8,si,Z33,la página y la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,si,no
Z33 · Mataderos,BAR OVIEDO,Av. Lisandro de la Torre 2407,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),si,0.0,si,Z33,la página y la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,si,no
Z33 · Mataderos,Bar Catedral Tango,Timoteo Gordillo 2498,Patrimonio normativo,Sitio de Interes Cultural,si,0.0,no,Z33,la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,si,no
Z33 · Mataderos,Edificios Administrativos del Antiguo Matadero,Av. Lisandro de la Torre y Av. de los Corrales,Patrimonio normativo,Monumento Historico Nacional + APH 21,si,0.0,no,Z33,la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,si,no
Z35 · Balvanera · Once,CAFE DE LOS ANGELITOS,Av. Rivadavia 2100,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),no,759.3,si,Z35,la página y la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,no,si
Z35 · Balvanera · Once,El Tropezón,CALLAO AV. 248,Restaurante Icónico,Restaurante Icónico,no,741.8,si,Z35,la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
Z35 · Balvanera · Once,Roma del Abasto,Anchorena 806,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),no,323.3,si,Z35,la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,no,si
Z35 · Balvanera · Once,Al Galope,TUCUMAN 2633,,,si,0.0,no,Z35,la página,"altura de puerta contra el callejero (centro de cuadra, ±½ cuadra)",,no,si
Z35 · Balvanera · Once,El Jaial,TUCUMAN 2620,,,si,0.0,no,Z35,la página,"altura de puerta contra el callejero (centro de cuadra, ±½ cuadra)",,no,si
Z35 · Balvanera · Once,Lalo Helueni,TUCUMAN 2755,,,si,0.0,no,Z35,la página,"altura de puerta contra el callejero (centro de cuadra, ±½ cuadra)",,no,si
Z35 · Balvanera · Once,Sucat David,TUCUMAN 2379,,,si,0.0,no,Z35,la página,"altura de puerta contra el callejero (centro de cuadra, ±½ cuadra)",,no,si
Z35 · Balvanera · Once,Yaffo Kosher,PASO 747,,,si,0.0,no,Z35,la página,"altura de puerta contra el callejero (centro de cuadra, ±½ cuadra)",,no,si
Z37 · Almagro,El Trebol 1969,Av. Angel Gallardo 3,Pizzería emblemática,APYCE + GCBA (2026),no,766.9,si,Z37,la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
Z37 · Almagro,El Boliche de Roberto,Bulnes 331,,,no,237.5,no,Z37,la página,"altura de puerta contra el callejero (centro de cuadra, ±½ cuadra)",,no,si
Z37 · Almagro,12 de octubre,Bulnes 331,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),no,236.9,si,Z37,la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,no,si
Z37 · Almagro,El Mirasol de Boedo,BOEDO 136,Restaurante Icónico,Restaurante Icónico,no,48.7,si,Z37,la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
Z37 · Almagro,EL SIMBOLO,Av. Corrientes 3787,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),si,0.0,si,Z37,la página y la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,no,si
Z37 · Almagro,El Banderin,Guardia Vieja 3601,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),si,0.0,si,Z37,la página y la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,no,si
Z37 · Almagro,LAS VIOLETAS,Av. Rivadavia 3899,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),si,0.0,si,Z37,la página y la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,no,si
Z37 · Almagro,La Orquidea,Av. Corrientes 4101,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),si,0.0,si,Z37,la página y la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,no,si
Z37 · Almagro,Pin Pun,Av. Corrientes 3954,Pizzería emblemática,APYCE + GCBA (2025),si,0.0,si,Z37,la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
Z39 · Parque Avellaneda,Viejo Mercado,Av. Olivera 1557,,,no,951.9,no,Z39,la página,"altura de puerta contra el callejero (centro de cuadra, ±½ cuadra)",,no,si
Z39 · Parque Avellaneda,Yiyo el Zeneize,Av. Eva Peron 4402,Restaurante/bodegón,Patrimonio historico y cultural inmaterial (Ley CABA 6.533) — la declaratoria recae sobre la carta gastronómica,no,515.0,no,Z39,la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
Z39 · Parque Avellaneda,De Flores Cafe,Lacarra 1500,,,no,0.0,no,Z39,la página,"altura de puerta contra el callejero (centro de cuadra, ±½ cuadra)",,no,si
Z39 · Parque Avellaneda,La Barra del Parque,Lacarra 836,,,si,0.0,no,Z39,la página,"altura de puerta contra el callejero (centro de cuadra, ±½ cuadra)",,no,si
Z40 · Nueva Pompeya y Parque Patricios,Pena Los Amigos / Bar El Chino,Beazley 3566,Patrimonio normativo,Sitio de Interes Cultural,no,423.9,no,Z40,la capa de reconocimiento,punto de la capa de reconocimiento,dudosa,no,si
Z40 · Nueva Pompeya y Parque Patricios,El Buzón,Esquiu 1393,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),no,255.7,si,Z40,la página y la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,no,si
Z40 · Nueva Pompeya y Parque Patricios,El Globito,Av. Caseros 3159,,,si,0.0,no,Z40,la página,"altura de puerta contra el callejero (centro de cuadra, ±½ cuadra)",,no,si
Z40 · Nueva Pompeya y Parque Patricios,Mercado de Pompeya,SAENZ AV. 790,,,si,0.0,no,Z40,la página,"altura de puerta contra el callejero (centro de cuadra, ±½ cuadra)",,no,si
Z41 · Nunez,Baja America,O'Higgins 3424,,,si,0.0,no,Z41,la página,"altura de puerta contra el callejero (centro de cuadra, ±½ cuadra)",,no,no
Z41 · Nunez,Citio,Av. Cdoro. Martin Rivadavia 1719,,,si,0.0,no,Z41,la página,"altura de puerta contra el callejero (centro de cuadra, ±½ cuadra)",,no,no
Z41 · Nunez,Evelia,Campos Salles 1712,MICHELIN,Recomendado/seleccionado,si,0.0,"si (distinción contemporánea, no trayectoria)",Z41,la página y la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,no
Z41 · Nunez,Garabato Bistro,O'Higgins 3424,MICHELIN,Bib Gourmand,si,0.0,"si (distinción contemporánea, no trayectoria)",Z41,la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,no
Z41 · Nunez,Hola Chola,Paroissien 1871,,,si,0.0,no,Z41,la página,"altura de puerta contra el callejero (centro de cuadra, ±½ cuadra)",,no,no
Z41 · Nunez,Kalis Pizza,O'Higgins 3578,,,si,0.0,no,Z41,la página,"altura de puerta contra el callejero (centro de cuadra, ±½ cuadra)",,no,no
Z41 · Nunez,L'Apero,Ibera 1800,,,si,0.0,no,Z41,la página,"altura de puerta contra el callejero (centro de cuadra, ±½ cuadra)",,no,no
Z41 · Nunez,La Escuela,Manuela Pedraza 2803,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),si,0.0,si,Z41,la página y la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,no,no
Z41 · Nunez,La Pescaderia,Crisologo Larralde 1716,,,si,0.0,no,Z41,la página,"altura de puerta contra el callejero (centro de cuadra, ±½ cuadra)",,no,no
Z41 · Nunez,Ness,Grecia 3691,MICHELIN,Recomendado/seleccionado,si,0.0,"si (distinción contemporánea, no trayectoria)",Z41,la página y la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,no
Z41 · Nunez,Piedra Pasillo Al Fondo,Campos Salles 2145,MICHELIN,Recomendado/seleccionado,si,0.0,"si (distinción contemporánea, no trayectoria)",Z41,la página y la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,no
Z41 · Nunez,Vereda Adentro,,,,sin ubicar,,no,Z41,la página,sin ubicar,,no,no
Z43 · Colegiales,Picarón,Avenida Dorrego 866,MICHELIN,Recomendado/seleccionado,no,913.5,"si (distinción contemporánea, no trayectoria)",R09R19_CHACAGIALES,la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
Z43 · Colegiales,Albamonte Ristorante,CORRIENTES AV. 6735,Restaurante Icónico,Restaurante Icónico,no,803.8,si,R09R19_CHACAGIALES,la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
Z43 · Colegiales,Anchoíta,Juan Ramírez de Velasco 1520,MICHELIN,Recomendado/seleccionado,no,701.7,"si (distinción contemporánea, no trayectoria)",R09R19_CHACAGIALES,la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
Z43 · Colegiales,CAFE PALACIO,Av. Federico Lacroze 3901,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),no,490.2,si,R09R19_CHACAGIALES,la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,no,si
Z43 · Colegiales,Ácido,Charlone 999,MICHELIN,Bib Gourmand,no,246.7,"si (distinción contemporánea, no trayectoria)",R09R19_CHACAGIALES,la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
Z43 · Colegiales,Ajo Negro - Mar de Tapas,Avenida Córdoba 6237,MICHELIN,Bib Gourmand,no,136.1,"si (distinción contemporánea, no trayectoria)",R09R19_CHACAGIALES,la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
Z43 · Colegiales,ANAFE,Virrey Avilés 3216,MICHELIN,Bib Gourmand,si,0.0,"si (distinción contemporánea, no trayectoria)",R09R19_CHACAGIALES,la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
Z43 · Colegiales,Antiche Tentazioni,,,,sin ubicar,,no,R09R19_CHACAGIALES,la página,sin ubicar,,no,si
Z43 · Colegiales,Bar Conde,Federico Lacroze 3193,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),si,0.0,si,R09R19_CHACAGIALES,la página y la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,no,si
Z43 · Colegiales,La Bici,,,,sin ubicar,,no,R09R19_CHACAGIALES,la página,sin ubicar,,no,si
Z43 · Colegiales,La Fabrica del Taco,,,,sin ubicar,,no,R09R19_CHACAGIALES,la página,sin ubicar,,no,si
Z43 · Colegiales,Mercado de Pulgas,Gral. Enrique Martinez 50,,,si,0.0,no,R09R19_CHACAGIALES,la página,"altura de puerta contra el callejero (centro de cuadra, ±½ cuadra)",,no,si
Z43 · Colegiales,Niniveh,,,,sin ubicar,,no,R09R19_CHACAGIALES,la página,sin ubicar,,no,si
Z43 · Colegiales,Osaka Concepción,Concepción Arenal 2913,MICHELIN,Recomendado/seleccionado,si,0.0,"si (distinción contemporánea, no trayectoria)",R09R19_CHACAGIALES,la página y la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
Z44 · Villa Ortuzar,Tia Meche,Bauness 1302,,,no,1299.2,no,Z44,la página,"altura de puerta contra el callejero (centro de cuadra, ±½ cuadra)",,no,si
Z44 · Villa Ortuzar,Suculentas,Heredia 499,,,no,861.4,no,Z44,la página,"altura de puerta contra el callejero (centro de cuadra, ±½ cuadra)",,no,si
Z44 · Villa Ortuzar,Gallo Negro,Donado 1851,,,no,716.4,no,Z44,la página,"altura de puerta contra el callejero (centro de cuadra, ±½ cuadra)",,no,si
Z44 · Villa Ortuzar,Curva,Caldas 1596,,,no,674.2,no,Z44,la página,"altura de puerta contra el callejero (centro de cuadra, ±½ cuadra)",,no,si
Z44 · Villa Ortuzar,Cerveceria Charlone,Freire 745,,,no,349.9,no,Z44,la página,"altura de puerta contra el callejero (centro de cuadra, ±½ cuadra)",,no,si
Z44 · Villa Ortuzar,F4 Esquina,Cnel. Manuel Roseti 1596,,,no,242.7,no,Z44,la página,"altura de puerta contra el callejero (centro de cuadra, ±½ cuadra)",,no,si
Z44 · Villa Ortuzar,Cantina y Teatro Tai,Charlone 1752,,,no,131.8,no,Z44,la página,"altura de puerta contra el callejero (centro de cuadra, ±½ cuadra)",,no,si
Z44 · Villa Ortuzar,Cullen Henderson,Av. Alvarez Thomas 1106,,,si,0.0,no,Z44,la página,"altura de puerta contra el callejero (centro de cuadra, ±½ cuadra)",,no,si
Z44 · Villa Ortuzar,Kopem,Av. Alvarez Thomas 1700,,,si,0.0,no,Z44,la página,"altura de puerta contra el callejero (centro de cuadra, ±½ cuadra)",,no,si
Z44 · Villa Ortuzar,La Mezzetta,Av. Alvarez Thomas 1321,Pizzería emblemática,APYCE + GCBA (2025),si,0.0,si,Z44,la página y la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
Z44 · Villa Ortuzar,Simona,Av. Alvarez Thomas 661,,,si,0.0,no,Z44,la página,"altura de puerta contra el callejero (centro de cuadra, ±½ cuadra)",,no,si
Z46 · Retiro,Kimchi Garden,San Martin 687,,,no,106.9,no,Z46,la página,"altura de puerta contra el callejero (centro de cuadra, ±½ cuadra)",,no,no
Z46 · Retiro,Barbaro,Tres Sargentos 415,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),si,0.0,si,Z46,la página y la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,no,no
Z46 · Retiro,Centro Cultural Coreano,Maipu 972,,,si,0.0,no,Z46,la página,"altura de puerta contra el callejero (centro de cuadra, ±½ cuadra)",,no,no
Z46 · Retiro,Chuchú,Avenida del Libertador 405,MICHELIN,Bib Gourmand,si,0.0,"si (distinción contemporánea, no trayectoria)",Z46,la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,no
Z46 · Retiro,Confiteria Saint Moritz,Esmeralda 894,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),si,0.0,si,Z46,la página y la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,no,no
Z46 · Retiro,El Cuartito,Talcahuano 937,Pizzería emblemática,APYCE + GCBA (2025),si,0.0,si,Z46,la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,no
Z46 · Retiro,Elena,Posadas 1086/88,MICHELIN,Recomendado/seleccionado,si,0.0,"si (distinción contemporánea, no trayectoria)",Z46,la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,no
Z46 · Retiro,FLORIDA GARDEN,Florida 899,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),si,0.0,si,Z46,la página y la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,no,no
Z46 · Retiro,Fa Song Song,,,,sin ubicar,,no,Z46,la página,sin ubicar,,no,no
Z46 · Retiro,Floreria Atlantico,Arroyo 872,Ranking internacional,The World's 50 Best Bars 2025 (51-100),si,0.0,"si (distinción contemporánea, no trayectoria)",Z46,la página y la capa de reconocimiento,punto de la capa de reconocimiento,si,no,no
Z46 · Retiro,Josephina's Cafe,Guido 1532,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),si,0.0,si,Z46,la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,no,no
Z46 · Retiro,Kuro Neko,Paraguay 831,,,si,0.0,no,Z46,la página,"altura de puerta contra el callejero (centro de cuadra, ±½ cuadra)",,no,no
Z46 · Retiro,PLAZA BAR,Florida 1005,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),si,0.0,si,Z46,la página y la capa de reconocimiento,punto de la capa de reconocimiento,CERRADO,no,no
Z46 · Retiro,Presencia,Montevideo 1789,MICHELIN,Recomendado/seleccionado,si,0.0,"si (distinción contemporánea, no trayectoria)",Z46,la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,no
Z46 · Retiro,Saigon Noodle Bar,M.T. de Alvear 818,,,si,0.0,no,Z46,la página,"altura de puerta contra el callejero (centro de cuadra, ±½ cuadra)",,no,no
Z46 · Retiro,Tancat,PARAGUAY 645,Restaurante Icónico,Restaurante Icónico,si,0.0,si,Z46,la página y la capa de reconocimiento,punto de la capa de reconocimiento,si,no,no
Z47 · Monserrat y Congreso,Gran Café Gardel,ochava Av. Entre Ríos e Independencia,Café histórico sin registro oficial,trayectoria documentada sin registro oficial,no,1116.3,no,Z47,la página y la capa de reconocimiento,punto de la capa de reconocimiento,si,no,si
Z47 · Monserrat y Congreso,BAR SEDDON,Defensa 695,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),no,774.2,si,Z47,la página y la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,no,si
Z47 · Monserrat y Congreso,Centro Asturiano de Buenos Aires,Solis 475,Casa regional con comedor,casa regional con comedor en funciones,no,732.0,no,Z47,la página y la capa de reconocimiento,punto de la capa de reconocimiento,dudosa,no,si
Z47 · Monserrat y Congreso,El Tropezón,CALLAO AV. 248,Restaurante Icónico,Restaurante Icónico,no,730.9,no,Z47,la página,punto de la capa de reconocimiento,sin_verificar,no,si
Z47 · Monserrat y Congreso,La Academia,Montevideo 341,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),no,584.5,no,Z47,la página,punto de la capa de reconocimiento,ABIERTO,no,si
Z47 · Monserrat y Congreso,Centro Laurak Bat (Restaurante Haritz),Av. Belgrano 1144,Casa regional con comedor,casa regional con comedor en funciones,no,393.3,no,Z47,la página y la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
Z47 · Monserrat y Congreso,EL COLONIAL,Av. Belgrano 599,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),no,374.5,si,Z47,la página y la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,no,si
Z47 · Monserrat y Congreso,El Querandi,Peru 302,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),no,272.6,si,Z47,la página y la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,no,si
Z47 · Monserrat y Congreso,LA PUERTO RICO,Alsina 420,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),no,160.3,si,Z47,la página y la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,no,si
Z47 · Monserrat y Congreso,36 BILLARES,Av. de Mayo 1265,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),si,0.0,si,Z47,la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,no,si
Z47 · Monserrat y Congreso,Bar Iberia,Av. de Mayo 1196,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),si,0.0,si,Z47,la página y la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,no,si
Z47 · Monserrat y Congreso,Cabildo de Buenos Aires,Peru 86,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),si,0.0,si,Z47,la página y la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,no,si
Z47 · Monserrat y Congreso,Café Tortoni,Av. de Mayo 825,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),si,0.0,si,Z47,la página y la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,no,si
Z47 · Monserrat y Congreso,El Globo,H. Yrigoyen 1199,,,si,0.0,no,Z47,la página,"altura de puerta contra el callejero (centro de cuadra, ±½ cuadra)",,no,si
Z47 · Monserrat y Congreso,El Imparcial,"YRIGOYEN, HIPOLITO 1201",Restaurante Icónico,Restaurante Icónico,si,0.0,si,Z47,la capa de reconocimiento,punto de la capa de reconocimiento,probablemente_abierto,no,si
Z47 · Monserrat y Congreso,London City,Av. de Mayo 599,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),si,0.0,si,Z47,la página y la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,no,si
Z47 · Monserrat y Congreso,Plaza Asturias,Av. de Mayo 1199,,,si,0.0,no,Z47,la página,"altura de puerta contra el callejero (centro de cuadra, ±½ cuadra)",,no,si
Z50 · Barracas · Av. Montes de Oca,El Puentecito,LUJAN 2101,Restaurante Icónico,Restaurante Icónico,no,813.2,si,S_BARRACAS,la capa de reconocimiento,punto de la capa de reconocimiento,probablemente_abierto,no,si
Z50 · Barracas · Av. Montes de Oca,Los Laureles,Av. Iriarte 2290,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),no,526.1,si,S_BARRACAS,la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,no,si
Z50 · Barracas · Av. Montes de Oca,Caseros,Avenida Caseros 486,MICHELIN,Bib Gourmand,no,443.7,"si (distinción contemporánea, no trayectoria)",S_BARRACAS,la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
Z50 · Barracas · Av. Montes de Oca,La Flor de Barracas,Suarez 2095,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),no,358.9,si,S_BARRACAS,la página y la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,no,si
Z50 · Barracas · Av. Montes de Oca,El Progreso,Av. Montes de Oca 1700,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),si,0.0,si,S_BARRACAS,la página y la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,no,si
Z50 · Barracas · Av. Montes de Oca,Los Campeones,Av. Montes de Oca 856,Pizzería emblemática,APYCE + GCBA (2026),si,0.0,si,S_BARRACAS,la página y la capa de reconocimiento,punto de la capa de reconocimiento,probablemente_abierto,no,si
"Z51 · Barracas · Iriarte, California y Vieytes",Caseros,Avenida Caseros 486,MICHELIN,Bib Gourmand,no,2394.2,"si (distinción contemporánea, no trayectoria)",S_BARRACAS,la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
"Z51 · Barracas · Iriarte, California y Vieytes",Los Campeones,Av. Montes de Oca 856,Pizzería emblemática,APYCE + GCBA (2026),no,1119.9,si,S_BARRACAS,la capa de reconocimiento,punto de la capa de reconocimiento,probablemente_abierto,no,si
